id,kind,form,domain,subfield,level,title,creator,canonical_id,tier,license_note,est_tokens,priority,epoch_cap,route,status
newman-comp-physics,book,expository,xdomain,physics-via-code,ug,Computational Physics,Newman,isbn:TBD,grey,,0.3M,P1,4,lawful-copy,indexed
clrs,book,expository,code,algorithms,ug,Introduction to Algorithms,Cormen/Leiserson/Rivest/Stein,isbn:TBD,grey,,0.6M,P0,4,lawful-copy,indexed
sedgewick-algorithms,book,expository,code,algorithms,ug,Algorithms,Sedgewick & Wayne,isbn:TBD,grey,,0.4M,P1,4,lawful-copy,indexed
skiena-adm,book,expository,code,algorithms,ug,The Algorithm Design Manual,Skiena,isbn:TBD,grey,,0.3M,P1,4,lawful-copy,indexed
kleinberg-tardos,book,expository,code,algorithms,ug,Algorithm Design,Kleinberg & Tardos,isbn:TBD,grey,,0.35M,P1,4,lawful-copy,indexed
sipser-toc,book,expository,code,theory,ug,Introduction to the Theory of Computation,Sipser,isbn:TBD,grey,,0.25M,P0,4,lawful-copy,indexed
arora-barak,book,expository,code,complexity,grad,Computational Complexity: A Modern Approach,Arora & Barak,isbn:TBD,grey,free draft online,0.4M,P2,4,free-web,indexed
sicp,book,expository,code,programming,ug,Structure and Interpretation of Computer Programs,Abelson & Sussman,https://mitp-content-server.mit.edu/books/content/sectbyfn/books_pres_0/6515/sicp.zip,green,CC-BY-SA,0.3M,P0,-,free-web,indexed
kr-c,book,expository,code,programming,ug,The C Programming Language,Kernighan & Ritchie,isbn:TBD,grey,,0.15M,P0,4,lawful-copy,indexed
dragon-book,book,expository,code,compilers,grad,Compilers: Principles Techniques and Tools,Aho/Lam/Sethi/Ullman,isbn:TBD,grey,,0.45M,P1,4,lawful-copy,indexed
crafting-interpreters,book,expository,code,compilers,ug,Crafting Interpreters,Nystrom,https://craftinginterpreters.com,green,free online,0.3M,P0,-,free-web,indexed
ostep,book,expository,code,os,ug,Operating Systems: Three Easy Pieces,Arpaci-Dusseau,https://pages.cs.wisc.edu/~remzi/OSTEP/,green,free by authors,0.35M,P0,-,free-web,indexed
tanenbaum-os,book,expository,code,os,ug,Modern Operating Systems,Tanenbaum & Bos,isbn:TBD,grey,,0.5M,P2,4,lawful-copy,indexed
csapp,book,expository,code,systems,ug,Computer Systems: A Programmer's Perspective,Bryant & O'Hallaron,isbn:TBD,grey,,0.5M,P0,4,lawful-copy,indexed
hennessy-patterson-arch,book,expository,code,architecture,grad,Computer Architecture: A Quantitative Approach,Hennessy & Patterson,isbn:TBD,grey,,0.5M,P1,4,lawful-copy,indexed
patterson-hennessy-org,book,expository,code,architecture,ug,Computer Organization and Design,Patterson & Hennessy,isbn:TBD,grey,,0.45M,P1,4,lawful-copy,indexed
harris-ddca,book,expository,xdomain,digital-design,ug,Digital Design and Computer Architecture,Harris & Harris,isbn:TBD,grey,eng-CS bridge,0.35M,P1,4,lawful-copy,indexed
kurose-ross,book,expository,code,networking,ug,Computer Networking: A Top-Down Approach,Kurose & Ross,isbn:TBD,grey,,0.4M,P1,4,lawful-copy,indexed
silberschatz-db,book,expository,code,databases,ug,Database System Concepts,Silberschatz/Korth/Sudarshan,isbn:TBD,grey,,0.4M,P2,4,lawful-copy,indexed
ddia,book,expository,code,systems,mixed,Designing Data-Intensive Applications,Kleppmann,isbn:TBD,grey,,0.3M,P0,4,lawful-copy,indexed
pro-git,book,expository,code,tools,ug,Pro Git,Chacon & Straub,https://git-scm.com/book,green,CC-BY-NC-SA,0.15M,P1,-,free-web,indexed
fluent-python,book,expository,code,programming,ug,Fluent Python,Ramalho,isbn:TBD,grey,,0.45M,P1,4,lawful-copy,indexed
effective-modern-cpp,book,expository,code,programming,ug,Effective Modern C++,Meyers,isbn:TBD,grey,,0.15M,P2,4,lawful-copy,indexed
stroustrup-cpp,book,expository,code,programming,ug,The C++ Programming Language,Stroustrup,isbn:TBD,grey,,0.6M,P2,4,lawful-copy,indexed
rust-book,book,expository,code,programming,ug,The Rust Programming Language,Klabnik & Nichols,https://doc.rust-lang.org/book/,green,MIT/Apache,0.25M,P0,-,free-web,indexed
gof-patterns,book,expository,code,design,ug,Design Patterns,Gamma/Helm/Johnson/Vlissides,isbn:TBD,grey,,0.25M,P2,4,lawful-copy,indexed
sre-book,book,expository,code,operations,mixed,Site Reliability Engineering,Google,https://sre.google/books/,green,free online,0.3M,P2,-,free-web,indexed
aima,book,expository,code,ai,ug,Artificial Intelligence: A Modern Approach,Russell & Norvig,isbn:TBD,grey,,0.6M,P0,4,lawful-copy,indexed
goodfellow-dl,book,expository,code,ml,grad,Deep Learning,Goodfellow/Bengio/Courville,https://www.deeplearningbook.org,grey,official-free online,0.4M,P0,4,free-web,indexed
bishop-prml,book,expository,code,ml,grad,Pattern Recognition and Machine Learning,Bishop,isbn:TBD,grey,official-free-pdf,0.4M,P0,4,free-web,indexed
esl-hastie,book,expository,code,ml,grad,The Elements of Statistical Learning,Hastie/Tibshirani/Friedman,https://hastie.su.domains/ElemStatLearn/,grey,official-free-pdf,0.4M,P0,4,free-web,indexed
murphy-pml,book,expository,code,ml,grad,Probabilistic Machine Learning (2 vols),Murphy,https://probml.github.io/pml-book/,grey,official free drafts,0.6M,P1,4,free-web,indexed
sutton-barto-rl,book,expository,code,ml,grad,Reinforcement Learning: An Introduction,Sutton & Barto,http://incompleteideas.net/book/the-book.html,grey,official-free,0.35M,P0,4,free-web,indexed
jurafsky-martin-slp,book,expository,code,nlp,grad,Speech and Language Processing,Jurafsky & Martin,https://web.stanford.edu/~jurafsky/slp3/,grey,official free draft,0.5M,P0,4,free-web,indexed
koller-friedman-pgm,book,expository,code,ml,grad,Probabilistic Graphical Models,Koller & Friedman,isbn:TBD,grey,,0.6M,P2,4,lawful-copy,indexed
numerical-recipes,book,expository,xdomain,numerical,grad,Numerical Recipes,Press et al.,isbn:TBD,grey,math-as-program exemplar,0.6M,P1,4,lawful-copy,indexed
oppenheim-signals,book,expository,eng,signals,ug,Signals and Systems,Oppenheim & Willsky,isbn:TBD,grey,,0.4M,P0,4,lawful-copy,indexed
oppenheim-dsp,book,expository,eng,signals,grad,Discrete-Time Signal Processing,Oppenheim & Schafer,isbn:TBD,grey,,0.45M,P1,4,lawful-copy,indexed
proakis-comm,book,expository,eng,communications,grad,Digital Communications,Proakis & Salehi,isbn:TBD,grey,,0.4M,P2,4,lawful-copy,indexed
sedra-smith,book,expository,eng,electronics,ug,Microelectronic Circuits,Sedra & Smith,isbn:TBD,grey,,0.55M,P0,4,lawful-copy,indexed
razavi-analog,book,expository,eng,electronics,grad,Design of Analog CMOS Integrated Circuits,Razavi,isbn:TBD,grey,,0.4M,P1,4,lawful-copy,indexed
horowitz-hill-aoe,book,expository,eng,electronics,mixed,The Art of Electronics,Horowitz & Hill,isbn:TBD,grey,,0.6M,P0,4,lawful-copy,indexed
pozar-microwave,book,expository,eng,rf,grad,Microwave Engineering,Pozar,isbn:TBD,grey,,0.4M,P1,4,lawful-copy,indexed
sze-semiconductor,book,expository,eng,semiconductors,grad,Physics of Semiconductor Devices,Sze & Ng,isbn:TBD,grey,,0.35M,P1,4,lawful-copy,indexed
rabaey-digital-ic,book,expository,eng,vlsi,grad,Digital Integrated Circuits,Rabaey et al.,isbn:TBD,grey,,0.35M,P2,4,lawful-copy,indexed
weste-harris-cmos,book,expository,eng,vlsi,grad,CMOS VLSI Design,Weste & Harris,isbn:TBD,grey,,0.4M,P2,4,lawful-copy,indexed
nise-control,book,expository,eng,controls,ug,Control Systems Engineering,Nise,isbn:TBD,grey,,0.45M,P1,4,lawful-copy,indexed
ogata-control,book,expository,eng,controls,ug,Modern Control Engineering,Ogata,isbn:TBD,grey,,0.45M,P1,4,lawful-copy,indexed
astrom-murray,book,expository,eng,controls,mixed,Feedback Systems,Åström & Murray,https://fbswiki.org,green,free by authors,0.3M,P0,-,free-web,indexed
beer-johnston-mechanics,book,expository,eng,mechanics,ug,Vector Mechanics for Engineers (Statics + Dynamics),Beer & Johnston,isbn:TBD,grey,,0.6M,P1,4,lawful-copy,indexed
hibbeler-mom,book,expository,eng,mechanics,ug,Mechanics of Materials,Hibbeler,isbn:TBD,grey,,0.4M,P1,4,lawful-copy,indexed
shigley-design,book,expository,eng,mechanical-design,ug,Shigley's Mechanical Engineering Design,Budynas & Nisbett,isbn:TBD,grey,,0.5M,P0,4,lawful-copy,indexed
cengel-thermo,book,expository,eng,thermodynamics,ug,Thermodynamics: An Engineering Approach,Cengel & Boles,isbn:TBD,grey,,0.5M,P0,4,lawful-copy,indexed
incropera-heat,book,expository,eng,heat-transfer,ug,Fundamentals of Heat and Mass Transfer,Incropera et al.,isbn:TBD,grey,,0.5M,P0,4,lawful-copy,indexed
white-fluids,book,expository,eng,fluids,ug,Fluid Mechanics,White,isbn:TBD,grey,,0.45M,P0,4,lawful-copy,indexed
munson-fluids,book,expository,eng,fluids,ug,Fundamentals of Fluid Mechanics,Munson et al.,isbn:TBD,grey,,0.45M,P2,4,lawful-copy,indexed
anderson-aero,book,expository,eng,aerospace,ug,Fundamentals of Aerodynamics,Anderson,isbn:TBD,grey,,0.45M,P1,4,lawful-copy,indexed
anderson-flight,book,expository,eng,aerospace,intro,Introduction to Flight,Anderson,isbn:TBD,grey,,0.4M,P2,4,lawful-copy,indexed
callister-materials,book,expository,eng,materials,ug,Materials Science and Engineering: An Introduction,Callister & Rethwisch,isbn:TBD,grey,,0.45M,P0,4,lawful-copy,indexed
ashby-materials,book,expository,eng,materials,grad,Materials Selection in Mechanical Design,Ashby,isbn:TBD,grey,,0.35M,P1,4,lawful-copy,indexed
bsl-transport,book,expository,eng,transport,grad,Transport Phenomena,Bird/Stewart/Lightfoot,isbn:TBD,grey,,0.45M,P0,4,lawful-copy,indexed
fogler-reactions,book,expository,eng,chemical-eng,ug,Elements of Chemical Reaction Engineering,Fogler,isbn:TBD,grey,,0.45M,P1,4,lawful-copy,indexed
perrys-handbook,reference,reference,eng,chemical-eng,research,Perry's Chemical Engineers' Handbook,Green & Southard,isbn:TBD,grey,,2.5M,P1,4,lawful-copy,indexed
marks-handbook,reference,reference,eng,mechanical,research,Marks' Standard Handbook for Mechanical Engineers,Avallone et al.,isbn:TBD,grey,,2M,P2,4,lawful-copy,indexed
roarks-formulas,reference,reference,eng,structures,research,Roark's Formulas for Stress and Strain,Young & Budynas,isbn:TBD,grey,,0.8M,P2,4,lawful-copy,indexed
crc-handbook,reference,reference,xdomain,data-tables,research,CRC Handbook of Chemistry and Physics,Rumble (ed.),isbn:TBD,grey,,3M,P0,4,lawful-copy,indexed
atkins-pchem,book,expository,chem,physical-chemistry,ug,Atkins' Physical Chemistry,Atkins/de Paula/Keeler,isbn:TBD,grey,,0.5M,P0,4,lawful-copy,indexed
mcquarrie-pchem,book,expository,chem,physical-chemistry,grad,Physical Chemistry: A Molecular Approach,McQuarrie & Simon,isbn:TBD,grey,,0.5M,P1,4,lawful-copy,indexed
clayden-organic,book,expository,chem,organic,ug,Organic Chemistry,Clayden/Greeves/Warren,isbn:TBD,grey,,0.6M,P1,4,lawful-copy,indexed
housecroft-inorganic,book,expository,chem,inorganic,ug,Inorganic Chemistry,Housecroft & Sharpe,isbn:TBD,grey,,0.5M,P2,4,lawful-copy,indexed
szabo-ostlund,book,expository,chem,quantum-chemistry,grad,Modern Quantum Chemistry,Szabo & Ostlund,isbn:TBD,grey,Dover reprint,0.3M,P1,4,lawful-copy,indexed
ap-frq-archive,problems,problems,xdomain,exams,intro,AP free-response archives + scoring guidelines (Calc/Physics/Chem/CS),College Board,https://apcentral.collegeboard.org,grey,official-free FRQs; MC not released,3M,P0,4,free-web,indexed
alevel-past-papers,problems,problems,xdomain,exams,intro,UK A-level past papers + mark schemes (AQA/OCR/Edexcel/CIE),UK exam boards,TBD,grey,official-free on board sites,5M,P0,4,free-web,indexed
ib-past-papers,problems,problems,xdomain,exams,intro,IB Diploma past papers (Math/Physics/Chem),IBO,isbn:TBD,grey,sold not freely published,2M,P1,4,lawful-copy,indexed
regents-exams,problems,problems,xdomain,exams,intro,NY Regents exam archive (math/physics/chem),NYSED,https://www.nysedregents.org,green,state-published public record,2M,P1,-,free-web,indexed
jee-papers,problems,problems,xdomain,exams,ug,JEE Main/Advanced past papers + answer keys,NTA/IITs,https://jeeadv.ac.in,grey,official-free; excellent difficulty band,2M,P1,4,free-web,indexed
imo-shortlists,problems,problems,math,olympiad,ug,IMO problems + shortlists with solutions,IMO,https://www.imo-official.org,grey,official-free,1M,P0,4,free-web,indexed
putnam-archive,problems,problems,math,olympiad,ug,Putnam exam archive with solutions,MAA/Kedlaya,https://kskedlaya.org/putnam-archive/,grey,official-free,0.5M,P0,4,free-web,indexed
ipho-archive,problems,problems,physics,olympiad,ug,IPhO/APhO past problems + solutions,IPhO,https://www.ipho-new.org,grey,official-free,1M,P0,4,free-web,indexed
icho-archive,problems,problems,chem,olympiad,ug,IChO past problems + solutions,IChO,TBD,grey,official-free,0.5M,P2,4,free-web,indexed
ioi-archive,problems,problems,code,olympiad,ug,IOI tasks + official test data,IOI,https://ioinformatics.org,green,tasks + test data publicly released,0.5M,P2,-,free-web,indexed
physics-quals,problems,problems,physics,qualifying-exams,grad,Physics PhD qualifying exam archives (dept-published),various universities,TBD,grey,official-free dept archives,2M,P0,4,free-web,indexed
math-quals,problems,problems,math,qualifying-exams,grad,Math PhD qualifying exam archives (dept-published),various universities,TBD,grey,official-free dept archives,1.5M,P0,4,free-web,indexed
fe-pe-prep,problems,problems,eng,licensure,ug,FE/PE exam prep + NCEES reference handbook,NCEES/various,isbn:TBD,grey,handbook free; prep books via lawful-copy,1.5M,P1,4,lawful-copy,indexed
aops-forums,problems,problems,math,olympiad,mixed,AoPS community forums (raw),AoPS,https://artofproblemsolving.com,grey,prefer laundered CC releases (NuminaMath/OpenMathReasoning),50M,P2,4,scrape,indexed
irodov-problems,book,problems,physics,problem-book,ug,Problems in General Physics,Irodov,isbn:TBD,grey,problem-book canon,0.3M,P1,4,lawful-copy,indexed
engel-problem-solving,book,problems,math,problem-book,grad,Problem-Solving Strategies,Engel,isbn:TBD,grey,olympiad training canon,0.3M,P2,4,lawful-copy,indexed
datasheets-appnotes,dump,reference,eng,electronics,mixed,Manufacturer datasheets + application notes (TI/ADI/ST/NXP/Microchip),various,TBD,grey,freely published; app notes = top applied-eng prose,8B,P0,-,scrape,indexed
ros-docs,dump,reference,xdomain,robotics,mixed,ROS/ROS2 documentation + tutorials + wiki,Open Robotics,https://docs.ros.org,green,CC-BY,100M,P1,-,scrape,indexed
lynch-modern-robotics,book,expository,eng,robotics,ug,Modern Robotics: Mechanics Planning and Control,Lynch & Park,http://modernrobotics.org,grey,official-free-pdf,0.35M,P0,4,free-web,indexed
craig-robotics,book,expository,eng,robotics,ug,Introduction to Robotics: Mechanics and Control,Craig,isbn:TBD,grey,,0.35M,P1,4,lawful-copy,indexed
thrun-probabilistic-robotics,book,expository,xdomain,robotics,grad,Probabilistic Robotics,Thrun/Burgard/Fox,isbn:TBD,grey,robotics-ML bridge,0.4M,P1,4,lawful-copy,indexed
curtis-orbital,book,expository,eng,aerospace,ug,Orbital Mechanics for Engineering Students,Curtis,isbn:TBD,grey,,0.4M,P1,4,lawful-copy,indexed
bate-astrodynamics,book,expository,eng,aerospace,ug,Fundamentals of Astrodynamics,Bate/Mueller/White,isbn:TBD,grey,Dover reprint,0.3M,P2,4,lawful-copy,indexed
yiu-cortex-m,book,expository,eng,embedded,ug,The Definitive Guide to ARM Cortex-M3 and Cortex-M4,Yiu,isbn:TBD,grey,embedded canon,0.3M,P2,4,lawful-copy,indexed
weinberg-gravitation,book,expository,physics,relativity,grad,Gravitation and Cosmology,Weinberg,isbn:TBD,grey,canon-miner discovery,0.45M,P1,4,lawful-copy,indexed
reif-statmech,book,expository,physics,stat-mech,ug,Fundamentals of Statistical and Thermal Physics,Reif,isbn:TBD,grey,canon-miner discovery,0.4M,P1,4,lawful-copy,indexed
eisberg-resnick,book,expository,physics,modern-physics,ug,"Quantum Physics of Atoms, Molecules, Solids, Nuclei, and Particles",Eisberg & Resnick,isbn:TBD,grey,canon-miner discovery,0.45M,P1,4,lawful-copy,indexed
hawking-ellis,book,expository,physics,relativity,grad,The Large Scale Structure of Space-Time,Hawking & Ellis,isbn:TBD,grey,canon-miner discovery,0.3M,P2,4,lawful-copy,indexed
hardy-wright,book,expository,math,number-theory,ug,An Introduction to the Theory of Numbers,Hardy & Wright,isbn:TBD,grey,canon-miner discovery; fills the number-theory gap,0.3M,P0,4,lawful-copy,indexed
ireland-rosen,book,expository,math,number-theory,grad,A Classical Introduction to Modern Number Theory,Ireland & Rosen,isbn:TBD,grey,number-theory shelf,0.3M,P2,4,lawful-copy,indexed
princeton-companion,reference,expository,math,survey,mixed,The Princeton Companion to Mathematics,Gowers (ed.),isbn:TBD,grey,canon-miner discovery,1M,P1,4,lawful-copy,indexed
kerrisk-tlpi,book,expository,code,systems,ug,The Linux Programming Interface,Kerrisk,isbn:TBD,grey,canon-miner discovery,0.55M,P1,4,lawful-copy,indexed
peterson-davie,book,expository,code,networking,ug,Computer Networks: A Systems Approach,Peterson & Davie,isbn:TBD,grey,canon-miner discovery; free online edition exists,0.4M,P2,4,lawful-copy,indexed
nasa-ntrs,dump,papers,eng,tech-reports,research,NASA Technical Reports Server (aerospace/physics/eng),NASA,https://ntrs.nasa.gov,green,US-gov public domain,5B,P1,-,pd,indexed
doe-osti,dump,papers,physics,tech-reports,research,DOE OSTI technical reports (physics/energy/materials),DOE OSTI,https://www.osti.gov,green,US-gov public domain,4B,P1,-,pd,indexed
nist-pubs,dump,reference,physics,metrology-materials,research,NIST publications + reference data (metrology/materials),NIST,https://www.nist.gov/publications,green,US-gov public domain,1B,P1,-,pd,indexed
lean-mathlib4,corpus,code,math,formal-proofs,research,Lean 4 mathlib formalized mathematics,leanprover-community,https://github.com/leanprover-community/mathlib4,green,Apache-2.0; needs LeanDojo extraction,0.5B,P1,-,scrape,indexed
isabelle-afp,corpus,code,math,formal-proofs,research,Isabelle Archive of Formal Proofs,AFP,https://www.isa-afp.org,green,open; needs IsarStep extraction,0.5B,P2,-,scrape,indexed
naturalproofs,corpus,expository,math,proofs,research,NaturalProofs NL theorem statements + proofs,Welleck et al.,hf:wellecks/naturalproofs,green,MIT,0.05B,P1,-,hf,indexed
knzhou-physics,problems,problems,physics,problem-solving,ug,Kevin Zhou physics olympiad handouts + solutions,Zhou,https://knzhou.github.io/,grey,official-free online; ~1000 problems,3M,P1,4,free-web,indexed
openfoam,corpus,code,eng,cfd,research,OpenFOAM CFD solver + tutorials/docs,OpenFOAM Foundation,https://github.com/OpenFOAM/OpenFOAM-dev,green,GPL; physics-via-code,0.3B,P2,-,scrape,indexed
su2,corpus,code,eng,cfd-multiphysics,research,SU2 multiphysics simulation suite + tutorials,SU2,https://github.com/su2code/SU2,green,LGPL,0.15B,P2,-,scrape,indexed
harris-quant-analysis,book,expository,chem,analytical,ug,Quantitative Chemical Analysis,Harris,isbn:TBD,grey,analytical-chem gap fill,0.35M,P1,4,lawful-copy,indexed
skoog-instrumental,book,expository,chem,instrumental-analysis,ug,Principles of Instrumental Analysis,Skoog/Holler/Crouch,isbn:TBD,grey,,0.3M,P2,4,lawful-copy,indexed
carey-sundberg-organic,book,expository,chem,organic,grad,Advanced Organic Chemistry,Carey & Sundberg,isbn:TBD,grey,grad organic depth,0.4M,P2,4,lawful-copy,indexed
nptel,dump,mixed,xdomain,course-materials,mixed,NPTEL free courses (IIT lectures + assignments + solutions; eng-heavy),NPTEL,https://nptel.ac.in,grey,free-to-view; IIT copyright,5B,P1,4,scrape,indexed
stanford-online,dump,mixed,xdomain,course-materials,mixed,Stanford Engineering Everywhere + online course materials,Stanford,https://online.stanford.edu,grey,free-to-view,1B,P2,4,scrape,indexed
